python-more-itertools 10.3.0-1
python-msgpack 1.0.5-2
python-netifaces 0.11.0-5
python-numpy 2.1.2-1
python-ordered-set 4.1.0-5
python-orjson 3.10.7-1
python-packaging 24.1-1
python-pexpect 4.9.0-2
python-pillow 10.4.0-1
python-pip 24.2-1
python-pkginfo 1.10.0-1
python-platformdirs 4.3.6-1
python-poetry 1.8.3-1
python-poetry-core 1.9.0-5
python-poetry-plugin-export 1.8.0-1
python-protobuf 28.2-3
python-ptyprocess 0.7.0-6
python-pychromecast 14.0.4-1
python-pycparser 2.22-2
python-pydbus 0.6.0-11
python-pyparsing 3.1.2-2
python-pyproject-hooks 1.2.0-1
python-pyxdg 0.28-3
python-rapidfuzz 3.6.2-3
python-referencing 0.35.1-1
python-requests 2.32.3-1
python-requests-toolbelt 1.0.0-2
python-rpds-py 0.19.0-1
python-secretstorage 3.3.3-5
python-setuptools 1:69.5.1-1
python-shellingham 1.5.4-2
python-six 1.16.0-9
python-tomli 2.0.1-4
python-tomlkit 0.13.2-1
python-tqdm 4.66.5-1
python-trove-classifiers 2024.9.12-1
python-typing_extensions 4.12.2-1
python-urllib3 1.26.20-1
python-uvloop 0.20.0-1
python-validate-pyproject 0.20.2-1
python-virtualenv 20.26.2-1
python-webencodings 0.5.1-11
python-websockets 12.0-2
python-wheel 0.44.0-2
python-zeroconf 0.132.2-2
qhull 2020.2-5
qt5-base 5.15.15+kde+r132-1
qt5-svg 5.15.15+kde+r5-1
qt5-translations 5.15.15-1
qt6-5compat 6.8.0-1
qt6-base 6.8.0-1
qt6-declarative 6.8.0-2
qt6-shadertools 6.8.0-1
qt6-svg 6.8.0-1
qt6-translations 6.8.0-1
raptor 2.0.16-5
rasqal 1:0.9.33-7
rav1e 0.7.1-1
readline 8.2.013-1
redland 1:1.0.17-9
redshift 1.12-13
rtkit 0.13-3
rubberband 3.3.0-2
sdl2 2.30.8-1
sdl2_ttf 2.22.0-1
sed 4.9-3
semver 7.6.3-1
shaderc 2024.2-1
shadow 4.16.0-1
shared-mime-info 2.4-1
shiboken6 6.8.0.1-2
slang 2.3.3-3
snappy 1.2.1-2
sndio 1.10.0-1
sound-theme-freedesktop 0.8-6
source-highlight 3.1.9-13
speex 1.2.1-2
speexdsp 1.2.1-2
spirv-tools 2024.2-1
sqlite 3.46.1-1
srt 1.5.3-2
sudo 1.9.16-1
svt-av1 2.2.1-1
systemd 256.7-1
systemd-libs 256.7-1
systemd-sysvcompat 256.7-1
tar 1.35-2
tdb 1.4.12-1
texinfo 7.1.1-1
tinysparql 3.8.0-1
touche 2.0.12-2
touche-debug 2.0.12-2
touchegg 2.0.17-2
tpm2-tss 4.0.1-1
tree-sitter 0.24.3-1
tree-sitter-c 0.23.1-1
tree-sitter-lua 0.2.0-1
tree-sitter-markdown 0.3.1-1
tree-sitter-query 0.4.0-1
tree-sitter-vim 0.4.0-1
tree-sitter-vimdoc 3.0.0-1
tslib 1.23-1
ttf-font-awesome-5 5.15.4-1
tzdata 2024b-2
unibilium 2.1.1-2
unzip 6.0-21
util-linux 2.40.2-1
util-linux-libs 2.40.2-1
uvicorn 0.31.0-1
v4l-utils 1.28.1-1
vapoursynth R70-1
vid.stab 1.1.1-2
vim-runtime 9.1.0785-1
vmaf 3.0.0-1
vscodium 1.84.2.23319-1
vulkan-headers 1:1.3.295-1
vulkan-icd-loader 1.3.295-1
wayland 1.23.1-1
webrtc-audio-processing 0.3.1-5
webrtc-audio-processing-1 1.3-3
wget 1.24.5-3
which 2.21-6
wmname 0.1-6
wpa_supplicant 2:2.11-2
wxwidgets-common 3.2.6-1
wxwidgets-gtk3 3.2.6-1
x264 3:0.164.r3108.31e19f9-2
x265 3.6-1
xcb-proto 1.17.0-2
xcb-util 0.4.1-2
xcb-util-cursor 0.1.5-1
xcb-util-image 0.4.1-3
xcb-util-keysyms 0.4.1-5
xcb-util-renderutil 0.3.10-2
xcb-util-wm 0.4.2-2
xdg-utils 1.2.1-1
xf86-input-libinput 1.5.0-1
xf86-video-amdgpu 23.0.0-2
xf86-video-intel 1:2.99.917+923+gb74b67f0-2
xf86-video-vesa 2.6.0-2
xkeyboard-config 2.43-1
xmlsec 1.3.5-1
xorg-fonts-encodings 1.1.0-1
xorg-mkfontscale 1.2.3-1
xorg-server 21.1.13-1
xorg-server-common 21.1.13-1
xorg-setxkbmap 1.3.4-2
xorg-xauth 1.1.3-1
xorg-xinit 1.4.2-2
xorg-xkbcomp 1.4.7-1
xorg-xmodmap 1.0.11-2
xorg-xprop 1.2.7-1
xorg-xrandr 1.5.2-2
xorg-xrdb 1.2.2-2
xorg-xset 1.2.5-2
xorg-xsetroot 1.1.3-2
xorgproto 2024.1-2
xournalpp 1.2.3-1
xvidcore 1.3.7-3
xxhash 0.8.2-1
xz 5.6.3-1
yarn 1.22.22-2
yay 12.4.2-1
yay-debug 12.4.2-1
yt-dlp 2024.10.07-1
zeromq 4.3.5-2
zimg 3.0.5-1
zlib 1:1.3.1-2
zstd 1.5.6-1
zxing-cpp 2.2.1-1
